optimal distance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80
51,5,1,7,10,6,4,9,2,3,15,8,12,14,0,11,13,0,3,1,2,1,1,3,0,0,2,0,3,1,2,1,3,0,2,2,1,2,1,3,0,3,1,2,0,0,0,3,1,1,2,2,0,0,3,3,3,1,2,1,2,0,2,1,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,6,4,13,1,2,14,5,0,8,15,11,10,7,12,9,3,2,0,3,3,1,1,2,1,3,0,0,2,0,2,2,1,1,3,1,3,0,0,2,2,1,3,3,0,2,2,1,1,3,0,3,3,0,2,2,0,2,1,1,3,0,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,13,9,15,1,12,4,0,5,3,6,8,14,2,11,10,7,0,3,0,2,1,1,3,3,0,0,2,1,1,3,0,3,0,2,2,1,2,1,1,3,0,3,0,3,1,2,0,3,0,2,2,2,1,1,3,3,1,2,2,0,3,1,3,3,0,2,0,2,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,
59,11,15,0,13,2,12,14,1,3,6,10,8,9,4,7,5,0,3,1,3,0,2,1,3,1,2,0,2,1,3,1,2,0,3,3,1,2,0,0,0,2,1,3,3,3,0,2,1,1,3,1,2,2,0,3,3,1,2,2,0,0,0,3,1,1,2,0,2,1,3,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,
59,12,7,11,8,10,1,6,13,4,5,3,0,15,14,2,9,1,2,1,1,2,0,2,0,3,3,1,2,2,1,3,3,0,3,1,2,2,0,0,0,2,1,1,3,3,1,2,2,0,3,0,3,0,2,1,2,0,3,1,3,3,0,2,2,1,3,1,3,0,2,1,2,1,3,3,,,,,,,,,,,,,,,,,,,,,
47,3,15,0,9,1,10,2,12,5,4,14,6,13,11,7,8,1,3,0,2,0,3,1,1,2,0,0,3,3,1,1,1,2,2,0,3,3,1,3,0,0,2,1,1,2,0,0,0,3,1,1,1,3,0,0,0,2,1,1,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,12,7,13,14,3,4,11,5,1,6,2,0,8,15,9,10,2,1,1,2,0,3,0,2,1,2,0,0,3,1,2,0,3,3,1,2,1,3,3,0,2,2,1,1,2,0,0,3,0,3,3,1,2,1,1,2,0,3,3,1,2,2,2,0,0,3,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,7,15,9,14,10,12,3,4,13,5,6,8,0,11,2,0,3,0,3,1,1,2,2,1,3,3,3,0,2,2,0,2,1,1,3,3,0,2,0,3,3,1,2,2,0,3,0,2,1,2,0,3,3,3,1,2,2,1,1,2,0,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,8,0,4,1,3,2,5,13,6,14,11,9,7,12,10,15,0,2,1,2,0,0,0,3,3,1,2,1,1,2,0,0,0,3,1,1,1,3,0,0,2,2,0,2,1,1,1,3,0,0,2,1,1,3,0,3,0,0,2,1,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,11,7,14,9,12,2,15,3,6,13,10,5,4,8,1,2,0,3,0,0,3,3,1,1,1,2,0,2,0,0,3,3,1,1,2,2,0,2,1,3,0,3,3,1,1,2,2,0,0,3,1,3,1,2,2,2,0,0,3,0,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,7,2,4,0,5,3,13,14,15,9,10,6,8,11,12,1,1,3,1,2,2,1,3,3,0,2,0,0,3,1,1,2,2,1,3,3,0,2,2,0,2,0,3,1,2,1,1,3,0,0,0,2,1,1,1,3,0,0,0,2,1,1,3,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2,4,11,9,6,5,3,0,13,7,10,12,15,8,14,1,2,2,1,2,1,3,1,3,3,0,2,1,2,2,0,0,0,3,1,1,2,0,3,3,1,1,2,0,0,3,0,2,2,1,3,3,1,1,2,0,0,0,3,1,3,0,2,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
